input,output
2 -25 = 24-4 -32,768 + 32
4 -23+ = 231-4 -2,147
8 763 = 963.4 -9,223
ushort | 16 bits 0 + 65,535 System.UInt16 
uint 32 bits 0 + 4,294
ulong 64 bits 0 + 18,446
point numbers accuracy of 15-16 digits, as well as exponents displacing the 
Multiply the next digit by 16*16, the next by 16*16*16 and so on. You 
functions or procedures. In C#, they are called methods. 
private. Its function is opposite to that of the public, i.e. if a method is 
2+3, the result of the calculation of that expression must be of type float 
Celsius to Fahrenheit formula is like this one: °C = (°F - 32) * 5/9, 
implemented in the method is divided by functionality, to several 
idea a functionality that is well detached logically, to be placed in a 
than the count of all cells (N*M). In our case the size of the maze is 7*5, i.e. 
What is the conclusion? The backtracking method does not work, when the 
generates all subsets, consisting exactly k strings chosen among the 
program that finds all subsets of numbers in the array, which have a 
whether there is one or more numbers in the array (subset), whose 
natural number. Similar functionality is widely used in practice, for example
After we got acquainted with the basic functionality of objects, we are going 
Boolean variables, etc.). We are going to describe them in details in the 
logarithm and square root, and some trigonometric functions. We are going to 
Se 7 = /3 =1,7320508... 
- mathematical functions: In(x), sqrt(x)
RIBUTES secAttrs. String msgPath. Boolean bFromProxy,. Boolea 
oding. Boolean detectEncodingFromByteOrderMarks, Int32 buffe 
Boolean result with either true value, if the strings have the same values
Using the built-in functionality of the method Split(...) from the class String, 
searching matches by a pattern. An example for a pattern is [A-Z0-9]+, 
"Assuming that the phones are saved in the following format: ""@8 + 8 digits", 
"text ""10/22/2010"" we can get an instance of DateTime type", containing the 
Let’s consider two classes - A and B. We say that, class A accesses the 
Smal1=10@, Normal=150
test functionality, which finds all books authored by Stephen King and 
There are buffered streams that do not add any extra functionality, but use 
List<int> unionList = Union(firstList, secondList); 
S3 = 2*S,4+ 1; 
The functions associated with node, like creating a node
Comparability - we call two objects A and B comparable, if exactly one of 
Similarly we will call two keys A and B comparable, if exactly one of the 
logarithmic behavior of the operations adding, searching and removing an 
For the edges a weight function can be assigned, that associates each edge 
crossing function of a pipe, etc. A graph that has weights on the edges is 
such as searching for the shortest path between two intersections, 
checking whether there is a road between two intersections, checking 
key and returns a Boolean value, indicating if the operation was 
defines a comparison function int Compare(T x, T y) that is an alternative 
function) is executed hash(key), that returns a number we call a hash- 
hash-code is a number returned by the hash-function, used for the 
Finding such a function in the common case is a very hard, almost 
Now we will take a look at a few examples for hash-functions, which are used 
functions. The main concept is that, the second hash function is used for the 
stopper is the need of two hash functions, which means that the class 
the elements of the intersection of both sets - the result is a set, 
elements of the sets union - the result is a set, containing the elements 
We have the data of the following buses: [08:24-08:33], [08:20-09:00]
[08:32-08:37], [09:00-09:15]. We are given the range [08:22-09:05]. 
You can use GetHashCode() % size as the first hash-function, 
(GetHashCode() * 83 + 7) % size as the second, (GetHashCode () * 
logarithmic, linear and so on
the base of the logarithm is most often 2, 
which makes 1/100*n¥*n steps, for elements up to 5000 the quadratic 
Besides the number of steps using a function of the input data, one can 
every step of the function execution 2 recursive calls are done in average, the 
hash-function, in SortedDictionary<K
hash-table is if we choose a bad hash-function, we can reach a linear 
executed with logarithmic complexity O(log(N)), which is the same in the 
To each of the one-elemental subsets we add every element from S, which 
subsets we generate, for example {ocean
the collection of the subsets of words, for example: 
through its elements. If we examine the algorithm for generating subsets, we 
The subset, which had been firstly generated
subsets with one more element have been generated from it, right? Therefore 
S which subset does not contain. The result is a set, which we enqueue. 
subsets of S, but some of them are generated twice. 
one and the same subset. It seems we have not thought of duplicates, which 
Since the subsets {1, 2
generate only subsets, in which the indices are in ascending order. Instead 
of subsets of words we can keep subsets of indices, right? In these subsets of 
in subset. We add to subset all indices, which are bigger than start 
and smaller than N. As a result we get several new subsets, which we 
and searching an element as well as union, intersection
methods to extract the subsets S and EE: RangeFrom(from, 
abstraction of data and behavior, encapsulation of data and class 
"take the indicator ""larger than"" (>) as an example. If A>B and B>C", we can 
complement / alter some of the inherited functionality. For example, the 
provides functions for printing, sending an e-mail and working with 
functionality is through interfaces. That way, the functionality can be 
Functional independence (or more precisely, loose coupling) between 
Examples of inadequate names for Boolean variables are: student, read
It would be useful if Boolean identifiers start with is, has or can (with an 
that methods are grouped by functionality, not by access level or scope. For 
Variables that span across just 4-5 lines can have short and simple names, 
// Declare boolean variable, initially true 
have common functionality, it should be moved into a base class. 
are well written and the entire functionality is covered, the code is 
and how to add functionality to already created classes, using extension 
built-in lambda functions work. Afterwards, we will pay more attention to 
use our new functionality. Unfortunately, that is the least of our problems. If 
used in the method body to create its functionality. Practically, it is the object 
borrowed from the functional programming languages (e.g. Haskell, Lisp
filtering lambda function from “e => e > 20000” to “e => e > 500000”, the 
be too small (e.g. 2-3 cards), because in this way our example might 
&'V¥)% 2/4) & 2,9 /\¢)| 4% | &)| & 
roughly 2 * 300,000 * 300
"the ""auto complete"" function; how to create methods", constructors and 
By Boolean variable can only know whether we are in a tag or not, but cannot 
Boolean variable, we can store the number of tags in which we are (in 
"Part cheapPart = new Part(""Tires 165/50/R13", 302.36m
"Part tires = new Part(""Tires 165/50/R13", 302.36m
character functions as a word separator. Therefore, we must first identify 
that the string class provides such functionality. After we check, it turns out 
counting function). For example if N=10, the estimated sieveSize will be 
Using a single loop we can evaluate the expression, provided we have the lists 
"2 -3"")", expression with large numbers
2*(2.25+5.25)-17/3 is a valid expression," but ""*232*-25+(33+a"" is not. "
"substitute ""(3+5)"" with 8"," and ""(4-7*2)"" with -10. Finally"
6. If you evaluate the expression using reverse polish notation, you can 
2. Implement functionality for add / edit / delete teachers, students
functionality for add / edit / delete teachers, students
functions that operate on it, and protects it from accidental modification from outside functions. OOP 
functions. However, the public members (both function and data) can be accessed from outside the 
A member function can call another member function directly, without using the dot operator. 
« Because the two functions are declared following the keyword public, they are 
Since we have two functions, we need to define them by saying what each function will 
« It is legal to declare variables and functions in the private part, and additional 
functions only declared in the public part of a class definition. Occasionally, 
Every C program consists of one or more functions, one of which must be main(). 
scanff.....) function can be used to enter any combination of numerical values, single 
"printf (""The sum of a and b is:\t%d\n", a+b); 
the addition operator. For example a = 8 + 3 * 5; here, a is assigned 23
condition is evaluated at the beginning of the loop. If the test expression is FALSE, 
Every C program consists of one or more functions, one of which must be main(). 
scanff.....) function can be used to enter any combination of numerical values, single 
"printf (""The sum of a and b is:\t%d\n", a+b); 
the addition operator. For example a = 8 + 3 * 5; here, a is assigned 23
condition is evaluated at the beginning of the loop. If the test expression is FALSE, 
that get called functional make these things easy, and make other 
• Functions are first class (objects). That is, everything you can do 
Python is in a functional programming style, and also expresses the 
If we simply call a function inside a for loop, the built-in higher- 
The following code is entirely equivalent to the functional version, 
"thing."" If those individual actions are wrapped in functions", map() 
could go further in turning suites into function sequences, using 
function identity_print( ), but this function is completely general
The emphasis in functional programming is, somewhat tautolo- 
ent ways to create functions, or at least something very function-like 
functional programming approach, which emphasizes immutability 
determine what result to return is not a pure function. Of course, all 
inlined into a function call. But as we have shown in this report, flow 
hence alter results of functions (e.g., by changing the contents of a 
you can pull out functions that have not been so decorated too — i.e., 
If your namespace is entirely a bag for pure functions, there is no 
calling such a function is not a regular value, but rather an iterator 
branching into the function call signatures themselves, and this 
tion. Given the get_p rimes () generator function discussed earlier, 
— in Python is to define a generator function, as was discussed in 
fully designed — functions for performing iterator algebra. That is, 
required. As well as the basic functions in the module itself, the 
ing blocks of higher-order functions, and most functional program- 
will take another function, along with zero or more arguments to 
The function functools. reduceQ is very general, very powerful
syntactic operation to some higher-order function, using the name 
full functional programming language. On the other hand, as we 
decorator is just syntax sugar that takes a function as an argument, 
some way an enhancement of the original function (or method, or 
same decorator function can always, in principle
functions). That would be an unusual use case, however. 
functions are f unctools. lru_cache, f unctools. total_orderlng
"and f unctools. wraps. The first ""memoizes"" a function (i.e.", it 
component in a flow or composition of functions, often done to 
gramming Python in a more functional style, and only some sugges- 
avoided by writing functions without side effects, and even more 
the header file defines information about some of the functions that are provided by the standard C library but, in 
you’re using the printf () function from the standard library, you have to include the stdio . h header file. This is 
other functions that deal with input and output. As such, its name
program consists of one or more functions, and every C program must contain a function called main ()—the reason 
being that a program always starts execution from the beginning of this function. So imagine that you’ve created, 
returned by the function, and the word int signifies that main() returns an integer value. The integer value that is 
The ma in () function can call other functions, which in turn may call further functions
function that’s called, you have the opportunity to pass some information to it within the parentheses that follow its 
name. A function will stop execution when a return statement in the body of the function is reached, and control will 
then transfer to the calling function (or the operating system in the case of the function main( )). In general, you define 
a function so that either it does return a value or it does not. When a function does return a value, the value is always 
Every function must have a body, although the body can be empty and just consist of the opening and closing 
You may wonder what use a function that does nothing is? Actually, this can be very useful when you’re 
immediately follow the function name. In this case, the call to the function displays the simple piece of Shakespearean 
Items enclosed between the parentheses following a function name, as with the printf () function in the previous 
one argument to a function, they must be separated by commas. 
The word function has appeared a few times so far in this chapter with reference to main(), printf ()
transmitted back from it. This interface is specified in the first line of the function, where the function name appears. 
Each of the four functions does a specific, well-defined job. Overall control of the sequence of operations in 
function to do the analysis. Once the data have been read and analyzed, a fourth function has the task of outputting 
that you’re interested in. If you find yourself writing a particular function frequendy, you can 
whenever you need to use that particular function, you can simply use your library version. 
functional, you’ve already been introduced to one of the standard library functions in one of this chapter's earliest 
of calls to the printf () function, and it demonstrates that output to the screen is controlled by what you pass to 
The next statement calls the standard library function printf () to output Hi there! to your display screen, 
printf () function. You’ll manipulate information and get some rather more interesting results. And by the way, the 
passed to a function. In this program statement, the two arguments to the printf () function are: 
executable code for a function, but you are not obliged to do so. You typically put declarations for variables that 
subsequent arguments to the printf () function, so the value of brides corresponds to the first specifier
abbreviated forms as shown in Table 2-3. Type int can also be written as signed int, but you won’t see this often 
to 10 +38 ), you should use variables of type float. Values of type float are known as single precision floating-point 
want to output a column of values so they align vertically. If you let the printf () function work out the field width, 
evaluates to 60. You start with the expression 5 + 4, which produces 9. The result is multiplied by 3
function, the scant () function
printf () function, except here it controls input rather than output. We’ll learn more about the scanf () function 
a function. For the moment, I won’t go into a more detailed explanation of this; you’ll see more on this in Chapter 8. 
function, and not to use it when you use the printf () function. 
Within the control string for the scanfQ function, the % character identifies the start of a format specification for 
to the function. The temporary variable is subsequently discarded. This is fine, as long as you don’t want to use 
printf () function calls. Numbers in your computer are always limited in the range of values that can be stored, 
when the value being displayed by the printf () function is type long double. Remember, this has to be a 
• OuarterSold /150 is calculated as 64400 /150, which should produce the result 
To write a single character to the command line with the printf () function, you use the same format specifier
good reason not to. I’ll use bool for the Boolean type throughout the rest of the book, but keep in mind that you need 
function name, so ceilf () applies to float values and sqrtlQ applies to long double values
You also have a range of trigonometric functions available, and some of them are shown in Table 2-12. Those for 
You also have the inverse trigonometric functions available: asinQ, acos()
functions sinhQ, cosh()
of these functions. If this stuff is not your bag, you can safely ignore this section. 
The triangles ADE and ABC are the same as those shown in Figure 2-4. The triangles are similar, which just 
You have seen and used some of the data output format specifications with the printf () function in this chapter, 
values: either true or false. Because a relational operator produces a Boolean result, you can store the result in a 
the control expression for an if statement is expected to produce a Boolean result, the compiler will arrange to 
mainQ function of the program. This function returns an integer value, as indicated by the keyword int: 
expression evaluates to true. If expression evaluates to false, all the statements between the braces following the 
use this function, you need to include the header file ctype.h in your source file. This header file also declares the 
complementary function, toupperQ
Now you have declared four Boolean variables using bool, which assumes the stdbool.h header has been 
just one operand. The logical NOT operator reverses the value of a logical expression: true becomes false, and false 
even simpler. This header declares functions isalphaQ, isupperQ
It also declares the toupperQ and the tolowerQ functions to convert a character to uppercase and lowercase, 
The conditional operator evaluates to one of two expressions, depending on whether a logical expression evaluates 
Notice how the operator is arranged in relation to the operands. The ? character follows the logical expression, 
does no harm to put the parentheses in. Table 3-2 shows the order of precedence for all the operators in C, from 
As you can see from Table 3-2, all the comparison operators are below the binary arithmetic operators in 
Each if expression can be anything as long as the result is true or false, which I’m sure you will remember is 
Because any logical expressions can be used as the if conditions, this statement is very flexible and allows you 
because it amounts to -164/4. If the sign bit isn’t propagated, however
The effect of each control expression is explained in Figure 4-2, but let’s take a closer look at exactly what’s 
The variable total will be assigned the value 15 (from 9 + 6). The variable count, with the initial value of 10
Each time you call the randQ function, it will return a random integer. The value will be from zero to a maximum 
The sequence of numbers that’s generated by the randQ function uses a starting seed number, and for a given 
seed the sequence will always be the same. If you use the function with the default seed value, as in the previous 
function each time the program executes. The time () function requires an argument to be specified, which you'll 
1 + 8 + 15 + 22 + ... and so on up to 1,000. 
You can start identifying the basic functional blocks of code, including the main loop for the game. The loop check 
The digits in the sequence that you generate have to be random. You’ll use the functions rand(), srandQ
The time() function accepts the address of a variable as an argument in which the time value is to be stored, and 
returned by the t ime () function, and you use this as the argument to the first call of s r a n d () to initialize the random 
There’s a standard library function, f flush ()
function is typically used for file buffers, which you’ll learn about in Chapter 12
The declaration required for the function ff lush () is in the stdio. h header file, for which you already have an 
• In complicated logical expressions, avoid using the operator ! as much as you can. 
Exercise 4-3. Extend the previous program to output the appropriate name, such as 
evaluated during the execution of the program. When you use an expression, the only constraints are that it must 
function, only the value stored in the variable is available to the function. Prefixing the variable name with the address 
"M , i , ~ 

,i,i r~r~ 

,i,l 


Each array element is 4 bytes 




Figure 5-5. Memory occupied by a4x 10 array 


198 




























CHAPTER 5 ARRAYS 


Because the array elements are of type float, which on my machine occupies four bytes, the total memory 
occupied by this array on my computer will be 4 x 10 x 4 bytes, which amounts to a total of 160 bytes. 

A three-dimensional array is a straightforward extension of a two-dimensional array: 

double beans[4] [10][20]; // 4 fields, each with 10 rows of 20 beans 

This declares an array with 800 elements. You can visualize it as storing yields from beans plants where there are 
three fields, each containing 10 rows of 20 plants. I’m sure you can see that the idea can be extended to define arrays 
with as many dimensions as you require. 

Initializing Multidimensional Arrays 

Initializing a two-dimensional array is similar to what you have seen for a one-dimensional array. The difference is 
that you put the initial values for each row between braces, { }, and then enclose all the rows between braces: 

int numbers[ 3 ][ 4 ] = { 

{ 10, 20, 30, 40 }, // Values for first row 

{ 15 , 25 , 35 , 45 }, // Values for second row 

{ 47, 48, 49, 50 } // Values for third row 

}; 


Each set of values that initializes the elements in a row is between braces, and the whole lot goes between 
another pair of braces. The values for a row are separated by commas, and each set of row values is separated from the 
next set by a comma. 

If you specify fewer initializing values than there are elements in a row, the values will be assigned to row 
elements in sequence, starting with the first. The remaining elements in a row that are left when the initial values have 
all been assigned will be initialized to 0. You can initialize the whole array to 0 by supplying just one value: 

int numbers[ 3 ][ 4 ] = {0}; 

For arrays of three or more dimensions, the process is extended. A three-dimensional array, for example, will 
have three levels of nested braces, with the inner level containing sets of initializing values for a row: 


int numbers[ 2 ][3][ 4 ] = { 











{ 







// 

First block of 3 rows 



{ 

10, 

20, 

50, 

40 

}, 





{ 

15, 

25, 

55, 

45 

}, 





{ 

47, 

-P* 

00 

49, 

50 

} 




}, 










{ 







// 

Second block of 3 rows 



{ 

10, 

20, 

50, 

40 

}, 





{ 

15, 

25, 

55, 

45 

}, 





{ 

47, 

- 1 ^ 

00 

49, 

50 

} 




} 









}; 











199 


CHAPTER 5 ARRAYS 


As you can see, die initializing values are between an outer pair of braces that enclose two blocks of three rows, each 
between braces. Each row is also between braces, so you have three levels of nested braces for a three-dimensional array. 
This is true generally; for instance, a six- dimensional array will have six levels of nested braces enclosing the initial values 
for the elements. You can omit the braces around the list for each row and the initialization will still work; but including 
the braces for the row values is much safer because you are much less likely to make a mistake. Of course, if you want to 
supply fewer initial values than there are elements in a row, you must include the braces around the row values. 

You need a nested loop to process all the elements in a multidimensional array. The level of nesting will be the 
number of array dimensions. Here’s how you could sum the elements in the previous numbers array: 

int sum = 0; 

for(int i = 0 ; i < 2 ; ++i) 

{ 

for(int j = 0 ; j < 3 ; ++j) 

{ 

for(int k = 0 ; k < 4 ; ++k) 

{ 

sum += numbers[i][j][k]; 

} 

} 

} 

print-f(The sum of the values in the numbers array is %d.", sum); 
smallest hat size is 6 1/2, so the first three characters corresponding to the first size are in size[o] [o]
size is 7 7/8, and it’s stored in the elements size[o][n]
6 1/2, and at the other end of the scale
Exercise 5-2. Define an array, data
Exercise 5-4. Define a two-dimensional array, data [ 11 ] [ 5 ]
printf () function, you have defined the message as a string constant. The following statements illustrate this: 
As Figure 6-1 shows, a special character with the code value 0 is added to the end of each string to mark where 
standard library provides an extensive range of functions to handle strings. First, let's see how you create variables that 
output the string stored in message using the printf () function, you could write this: 
handling functions are sensitive to the 1 \0' character, so outside of that there really is nothing special about an array 
To use the optional functions in string. h, you must define the STDC_WANT_LIB_EXT 1 symbol in your source 
code may use one or more of the new function names. In particular, many programmers implemented their own safer 
string handling functions in the past, so this could easily cause name conflicts with the Cl 1 library. When conflicts 
The strnlen_s () function that returns the length of a string requires two arguments: the address of the string, which 
The function returns the length of the string as an integer value of type size_t. If the first argument is NULL, 0 will 
first argument. The function returns an integer error code as a value of type errno t, which is an integer type that is 
The strncat_s () function is called in the condition to the if statement to check the return value, just like with 
value of their character codes. This mechanism is illustrated graphically in Figure 6-2, in which the character codes in 
The standard function strcmp (strl, str2) compares two strings
The strncmp () function compares up to a given number, n
arguments are the same as for the strcmpQ function, and the number of characters to be compared is specified by a 
The comparison functions are standard in string.h, so you don’t need to define_ stdc_want_lib_exti _for 
the array capacity. The function scanf_s() will help with this. Here's how you prompt for, and read
When you use the scanf_s() function to read characters using the %c conversion specification, it also requires 
The scanf_s() function will store up to five characters in the ch array. No \o is added. If you enter abcde, each 
If the value returned by the strcmpQ function is 0, the two strings are equal and you display a message to this 
The str ing. h header file declares several string-searching functions. Before I get into these, we'll take a peek at the 
function expects its second argument to be of type int, so the compiler will convert the value of ch to this type before 
function call, pGot_char will 
condition. The strchrQ function is called to start searching for ch at the address in pGot_char, which will be the start 
The strstr () function is probably the most useful of all the searching functions, ft searches one string for the first 
delimiter characters. There is also an optional tokenizing function, strtok_s()
function, so I will describe how that works. Because it's an optional standard function
first argument is stored. This will be updated by the function, so it stores the number of 
The function returns a pointer of type char* that points to the first character of a token, or NULL if no token 
1. On the first function call with str not NULL, str is searched to find the first character 
the function returns NULL. If a nondelimiter character is found, the function searches 
stdio. h is one way to do this. This is an optional function because it replaces gets (), which is now a deprecated 
function, so you should not use it. 
The gets s () function expects two arguments. The first is the address of an array, str say
wrong. If an error of some kind prevents the gets_s() function from reading the input successfully, it will return 
better by using the f get s () function, which stores the newline character in a string that is entered to end the input 
The f gets () function requires three arguments: the address of the input array, str say
You can examine the characters in a string using the library functions that are declared in the ctype. h header, which 
The string you enter is read into the buf array using the optional standard library function, gets_s(). This is 
ctype.h. The toupperQ function converts from lowercase to uppercase, and the tolowerQ function does the reverse. 
For all four functions, leading whitespace (characters for which isspace( ) returns true) is ignored. Any 
These functions are very easy to use, for example: 
