"C#","Console.WriteLine(""Hello, World!"");","Hello World example"
"C#","using System; class HelloWorld { static void Main(string[] args) { Console.WriteLine(""Hello, World!""); } }","Hello World example"
"C#","public class Person { private string name; public Person(string name) { this.name = name; } }","Class example"
"C#","int[] myArray = {1, 2, 3};","Array example"
"C#","try { ... } catch (Exception ex) { ... }","Error handling"
"C#","using (StreamWriter writer = new StreamWriter(""example.txt"")) { ... }","File input/output"
"Language","Code","Description"
"C++","#include <iostream> int main() { std::cout << ""Hello, World!"" << std::endl; return 0; }","Hello World example"
"C++","class Person { private: string name; public: Person(string name) { this->name = name; } };","Class example"
"C++","int myArray[3] = {1, 2, 3};","Array example"
"C++","try { ... } catch (const std::exception& e) { ... }","Error handling"
"C++","std::ofstream file(""example.txt"");","File input/output"
"Language","Code","Description"
"Linux","ls -l","List files in long format"
"Linux","cd ~","Change to home directory"
"Linux","mkdir mydir","Create a new directory"
"Linux","rm -rf mydir","Remove a directory recursively"
"Linux","echo ""Hello, World!"" > hello.txt","Create a file with text"
"Linux","cat hello.txt","Display file contents"
"Linux","grep ""keyword"" file.txt","Search for a keyword in a file"
"Language","Code","Description"
"Kotlin","fun main() { println(""Hello, World!"") }","Hello World example"
"Kotlin","class Person(val name: String) { fun greet() { println(""Hello, $name!"") } }","Class example"
"Kotlin","val numbers = listOf(1, 2, 3)","List example"
"Kotlin","try { ... } catch (e: Exception) { println(""Error: $e"") }","Error handling"
"Kotlin","fun add(x: Int, y: Int): Int { return x + y }","Function example"
"Language","Code","Description"
"Golang","package main; import ""fmt""; func main() { fmt.Println(""Hello, World!"") }","Hello World example"
"Golang","type Person struct { name string }; func (p *Person) greet() { fmt.Println(""Hello, "" + p.name + ""!"") }","Struct example"
"Golang","numbers := []int{1, 2, 3}","Slice example"
"Golang","if err != nil { fmt.Println(""Error:"", err) }","Error handling"
"Golang","func add(x int, y int) int { return x + y }","Function example"
"Language","Code","Description"
"Rust","fn main() { println!(""Hello, World!""); }","Hello World example"
"Language","Code","Description"
"Rust","struct Person { name: String }; impl Person { fn greet(&self) { println!(""Hello, {}!"", self.name); } }","Struct example"
"Rust","let numbers = vec![1, 2, 3];","Vector example"
"Rust","match result { Ok(value) => println!(""Result: {}"", value), Err(err) => println!(""Error: {}"", err) }","Error handling"
"Rust","fn add(x: i32, y: i32) -> i32 { x + y }","Function example"
"Rust","let x: i32 = 5;","Assign a value to a variable"
"Rust","if x > 0 { println!(""x is positive""); }","Conditional statement"
"Language","Code","Description"
"Batch","@echo off","Turn off command echoing"
"Batch","echo Hello, World!","Print text to console"
"Batch","set /p name=Enter your name: ","Get user input"
"Batch","if exist file.txt (echo File exists)","Conditional statement"
"Batch","for /l %%x in (1,1,5) do echo %%x","Loop example"
"Batch","copy file.txt file2.txt","Copy file"
"Batch","del file.txt","Delete file"
"Language","Code","Description"
"Caché ObjectScript","Class User.Person Extends %Persistent { Property Name As %String; }","Define a class"
"Caché ObjectScript","Method Hello(name As %String) { Write ""Hello, "" _ name _ ""!"" }","Define a method"
"Caché ObjectScript","Set x = 5","Assign a value to a variable"
"Language","Code","Description"
"C/AL","IF Quantity > 0 THEN BEGIN ... END","Conditional statement"
"C/AL","FOR i := 1 TO 10 DO ...","Loop example"
"C/AL","CLEAR(Item);","Clear a variable"
"Language","Code","Description"
"Caml","let rec factorial n = if n = 0 then 1 else n * factorial (n-1)","Recursive function"
"Caml","let x = 5","Assign a value to a variable"
"Caml","if x > 0 then print_endline ""x is positive""","Conditional statement"
"Language","Code","Description"
"Ceylon","shared void hello() { print(""Hello, World!""); }","Hello World example"
"Ceylon","class Person(shared String name) { }","Define a class"
"Ceylon","if (x > 0) { print(""x is positive""); }","Conditional statement"
"Language","Code","Description"
"CFEngine","bundle agent hello { reports: ""Hello, World!"" }","Hello World example"
"CFEngine","bundle agent files { files: ""/path/to/file"" -> { ""exists"" } }","File management"
"CFEngine","bundle agent packages { packages: ""package_name"" -> { ""installed"" } }","Package management"
"Language","Code","Description"
"Tcl","puts ""Hello, World!""","Hello World example"
"Tcl","set x 5","Assign a value to a variable"
"Tcl","if {$x > 0} {puts ""x is positive""}","Conditional statement"
"Tcl","for {set i 0} {$i < 10} {incr i} {puts $i}","Loop example"
"Language","Code","Description"
"Lua","print(""Hello, World!"")","Hello World example"
"Lua","x = 5","Assign a value to a variable"
"Lua","if x > 0 then print(""x is positive"") end","Conditional statement"
"Lua","for i = 1, 10 do print(i) end","Loop example"
"Language","Code","Description"
"F#","printfn ""Hello, World!""","Hello World example"
"F#","let x = 5","Assign a value to a variable"
"F#","if x > 0 then printfn ""x is positive""","Conditional statement"
"F#","for i in 1 .. 10 do printfn ""%d"" i","Loop example"
"Language","Code","Description"
"Julia","println(""Hello, World!"")","Hello World example"
"Julia","x = 5","Assign a value to a variable"
"Julia","if x > 0 println(""x is positive"") end","Conditional statement"
"Julia","for i in 1:10 println(i) end","Loop example"
"Language","Code","Description"
"TypeScript","let x: number = 5","Assign a value to a variable"
"TypeScript","if (x > 0) { console.log(""x is positive"") }","Conditional statement"
"TypeScript","for (let i = 0; i < 10; i++) { console.log(i) }","Loop example"
"Language","Code","Description"
"Swift","print(""Hello, World!"")","Hello World example"
"Swift","let x = 5","Assign a value to a variable"
"Swift","if x > 0 { print(""x is positive"") }","Conditional statement"
"Swift","for i in 1...10 { print(i) }","Loop example"
"Language","Code","Description"
"Julia","x = 5","Assign a value to a variable"
"Julia","if x > 0 println(""x is positive"") else println(""x is not positive"") end","Conditional statement"
"Julia","for i in 1:10 println(i) end","Loop example"
"Julia","function greet(name) println(""Hello, $name!"") end","Function example"
"Language","Code","Description"
"Haskell","helloWorld = putStrLn ""Hello, World!""","Hello World example"
"Haskell","let x = 5","Assign a value to a variable"
"Haskell","if x > 0 then putStrLn ""x is positive"" else putStrLn ""x is not positive""","Conditional statement"
"Haskell","[1..10]","List example"
"Language","Code","Description"
"Scala","object HelloWorld { def main(args: Array[String]) { println(""Hello, World!"") } }","Hello World example"
"Scala","val x = 5","Assign a value to a variable"
"Scala","if (x > 0) { println(""x is positive"") } else { println(""x is not positive"") }","Conditional statement"
"Scala","for (i <- 1 to 10) { println(i) }","Loop example"
"Language","Code","Description"
"Clojure","(println ""Hello, World!"")","Hello World example"
"Clojure","(def x 5)","Assign a value to a variable"
"Clojure","(if (> x 0) (println ""x is positive"") (println ""x is not positive""))","Conditional statement"
"Clojure","(doseq [i (range 1 11)] (println i))","Loop example"
"Language","Code","Description"
"Erlang","io:format(""Hello, World!~n"")","Hello World example"
"Erlang","X = 5","Assign a value to a variable"
"Erlang","if X > 0 -> io:format(""x is positive~n""); true -> io:format(""x is not positive~n"") end","Conditional statement"
"Erlang","lists:foreach(fun(X) -> io:format(""~p~n"", [X]) end, lists:seq(1, 10))","Loop example"
"Language","Code","Description"
"MATLAB","disp(""Hello, World!"")","Hello World example"
"MATLAB","x = 5","Assign a value to a variable"
"MATLAB","if x > 0 disp(""x is positive"") else disp(""x is not positive"") end","Conditional statement"
"MATLAB","for i = 1:10 disp(i) end","Loop example"
"Language","Code","Description"
"R","print(""Hello, World!"")","Hello World example"
"R","x <- 5","Assign a value to a variable"
"R","if (x > 0) { print(""x is positive"") } else { print(""x is not positive"") }","Conditional statement"
"R","for (i in 1:10) { print(i) }","Loop example"
"Language","Code","Description"
"Perl","print ""Hello, World!\n""","Hello World example"
"Perl","my $x = 5","Assign a value to a variable"
"Perl","if ($x > 0) { print ""x is positive\n"" } else { print ""x is not positive\n"" }","Conditional statement"
"Perl","for (my $i = 0; $i < 10; $i++) { print ""$i\n"" }","Loop example"
"Language","Code","Description"
"PHP","echo ""Hello, World!"";","Hello World example"
"PHP","$x = 5;","Assign a value to a variable"
"PHP","if ($x > 0) { echo ""x is positive""; } else { echo ""x is not positive""; }","Conditional statement"
"PHP","for ($i = 0; $i < 10; $i++) { echo ""$i\n""; }","Loop example"
"Language","Code","Description"
"Go","fmt.Println(""Hello, World!"")","Hello World example"
"Go","x := 5","Assign a value to a variable"
"Go","if x > 0 { fmt.Println(""x is positive"") }","Conditional statement"
"Go","for i := 0; i < 10; i++ { fmt.Println(i) }","Loop example"
"Language","Code","Description"
"Dart","print(""Hello, World!"");","Hello World example"
"Dart","var x = 5;","Assign a value to a variable"
"Dart","if (x > 0) { print(""x is positive""); }","Conditional statement"
"Dart","for (var i = 0; i < 10; i++) { print(i); }","Loop example"
"Language","Code","Description"
"Groovy","println ""Hello, World!""","Hello World example"
"Groovy","def x = 5","Assign a value to a variable"
"Groovy","if (x > 0) { println ""x is positive"" }","Conditional statement"
"Groovy","for (i in 0..9) { println i }","Loop example"
"Language","Code","Description"
"PowerShell","Write-Host ""Hello, World!""","Hello World example"
"PowerShell","$x = 5","Assign a value to a variable"
"PowerShell","if ($x -gt 0) { Write-Host ""x is positive"" }","Conditional statement"
"PowerShell","for ($i = 0; $i -lt 10; $i++) { Write-Host $i }","Loop example"
"Language","Code","Description"
"Pascal","writeln('Hello, World!');","Hello World example"
"Pascal","var x: integer = 5;","Assign a value to a variable"
"Pascal","if x > 0 then writeln('x is positive');","Conditional statement"
"Pascal","for i := 1 to 10 do writeln(i);","Loop example"
"Language","Code","Description"
"CoffeeScript","console.log ""Hello, World!""","Hello World example"
"CoffeeScript","x = 5","Assign a value to a variable"
"CoffeeScript","if x > 0 then console.log ""x is positive""","Conditional statement"
"CoffeeScript","for i in [0...10] then console.log i","Loop example"
"Language","Code","Description"
"Elixir","IO.puts ""Hello, World!""","Hello World example"
"Elixir","x = 5","Assign a value to a variable"
"Elixir","if x > 0, do: IO.puts ""x is positive""","Conditional statement"
"Elixir","Enum.each(1..10, fn x -> IO.puts x end)","Loop example"
"Language","Code","Description"
"OCaml","print_endline ""Hello, World!"";;","Hello World example"
"OCaml","let x = 5;;","Assign a value to a variable"
"OCaml","if x > 0 then print_endline ""x is positive"";;","Conditional statement"
"OCaml","for i = 1 to 10 do print_int i; print_newline () done;;","Loop example"
"Language","Code","Description"
"Visual Basic .NET","Console.WriteLine(""Hello, World!"")","Hello World example"
"Visual Basic .NET","Dim x As Integer = 5","Assign a value to a variable"
"Visual Basic .NET","If x > 0 Then Console.WriteLine(""x is positive"")","Conditional statement"
"Visual Basic .NET","For i As Integer = 1 To 10 Console.WriteLine(i)","Loop example"
"Language","Code","Description"
"Common Lisp","(print ""Hello, World!"")","Hello World example"
"Common Lisp","(defparameter x 5)","Assign a value to a variable"
"Common Lisp","(if (> x 0) (print ""x is positive""))","Conditional statement"
"Common Lisp","(loop for i from 1 to 10 do (print i))","Loop example"
"Language","Code","Description"
"Scheme","(display ""Hello, World!"")","Hello World example"
"Scheme","(define x 5)","Assign a value to a variable"
"Scheme","(if (> x 0) (display ""x is positive""))","Conditional statement"
"Scheme","(do ((i 1 (+ i 1))) ((> i 10)) (display i) (newline))","Loop example"
"Language","Code","Description"
"Prolog","write(""Hello, World!""), nl.","Hello World example"
"Prolog","X = 5.","Assign a value to a variable"
"Prolog","X > 0 -> write(""x is positive""), nl.","Conditional statement"
"Prolog","between(1, 10, I), write(I), nl, fail.","Loop example"
"Language","Code","Description"
"Fortran","WRITE (*,*) 'Hello, World!'","Hello World example"
"Fortran","INTEGER :: x = 5","Assign a value to a variable"
"Fortran","IF (x > 0) THEN WRITE (*,*) 'x is positive'","Conditional statement"
"Fortran","DO i = 1, 10 WRITE (*,*) i END DO","Loop example"
"Language","Code","Description"
"Cobol","DISPLAY ""Hello, World!""","Hello World example"
"Cobol","MOVE 5 TO X","Assign a value to a variable"
"Cobol","IF X > 0 THEN DISPLAY ""x is positive""","Conditional statement"
"Cobol","PERFORM VARYING I FROM 1 BY 1 UNTIL I > 10 DISPLAY I END-PERFORM","Loop example"
"Language","Code","Description"
"Apex","System.debug('Hello, World!');","Hello World example"
"Apex","Integer x = 5;","Assign a value to a variable"
"Apex","if (x > 0) { System.debug('x is positive'); }","Conditional statement"
"Apex","for (Integer i = 1; i <= 10; i++) { System.debug(i); }","Loop example"
"Language","Code","Description"
"Crystal","puts ""Hello, World!""","Hello World example"
"Crystal","x = 5","Assign a value to a variable"
"Crystal","if x > 0 puts ""x is positive"" end","Conditional statement"
"Crystal","10.times do |i| puts i end","Loop example"
"Language","Code","Description"
"Eiffel","io.put_string(""Hello, World!"")","Hello World example"
"Eiffel","x: INTEGER := 5","Assign a value to a variable"
"Eiffel","if x > 0 then io.put_string(""x is positive"") end","Conditional statement"
"Eiffel","from i := 1 until i > 10 loop io.put_integer(i) i := i + 1 end","Loop example"
"Language","Code","Description"
"Smalltalk","Transcript show: 'Hello, World!'; cr.","Hello World example"
"Smalltalk","x := 5.","Assign a value to a variable"
"Smalltalk","x > 0 ifTrue: [Transcript show: 'x is positive'; cr.]","Conditional statement"
"Smalltalk","1 to: 10 do: [:i | Transcript show: i; cr.]","Loop example"
"Language","Code","Description"
"Ada","Ada.Text_IO.Put_Line(""Hello, World!"");","Hello World example"
"Ada","X : Integer := 5;","Assign a value to a variable"
"Ada","if X > 0 then Ada.Text_IO.Put_Line(""x is positive""); end if;","Conditional statement"
"Ada","for I in 1 .. 10 loop Ada.Text_IO.Put_Line(I'Img); end loop;","Loop example"
"Language","Code","Description"
"Forth",".""""Hello, World!""""","Hello World example"
"Forth","5 constant x","Assign a value to a variable"
"Forth","x 0 > if .""""x is positive"""" then","Conditional statement"
"Forth","10 1 do i . loop","Loop example"
"Language","Code","Description"
"Nim","echo ""Hello, World!""","Hello World example"
"Nim","var x = 5","Assign a value to a variable"
"Nim","if x > 0: echo ""x is positive""","Conditional statement"
"Nim","for i in 1..10: echo i","Loop example"
"Language","Code","Description"
"Zig","const std = @import('std');","Import standard library"
"Zig","var x: i32 = 5;","Assign value"
"Zig","if (x > 0)","Conditional statement"
"Zig","var i: i32 = 1; while (i <= 10)","Loop example"
"Language","Code","Description"
"FreeBSD","uname -a","Display system information"
"FreeBSD","freebsd-version","Display FreeBSD version"
"FreeBSD","pkg install package","Install a package"
"FreeBSD","pkg delete package","Delete a package"
"FreeBSD","service servicename start","Start a service"
"FreeBSD","service servicename stop","Stop a service"
"FreeBSD","sysctl kern.osrelease","Get kernel release version"
"FreeBSD","sysctl hw.model","Get hardware model"
"Language","Code","Description"
"FreeBSD","uname -a","Display system information"
"FreeBSD","portsnap fetch extract","Update ports tree"
"FreeBSD","make -C /usr/ports/category/port install clean","Install a port"
"FreeBSD","make -C /usr/ports/category/port deinstall","Deinstall a port"
"Language","Code","Description"
"Debian","lsb_release -a","Display Debian version information"
"Debian","apt-get update","Update package list"
"Debian","apt-get install package","Install a package"
"Debian","apt-get remove package","Remove a package"
"Debian","apt-cache search package","Search for a package"
"Debian","dpkg -l","List installed packages"
"Debian","service servicename start","Start a service"
"Debian","service servicename stop","Stop a service"
"Debian","update-rc.d servicename defaults","Add service to startup"
"Debian","apt-get upgrade","Upgrade installed packages"
"Debian","apt-get dist-upgrade","Upgrade Debian distribution"
"Debian","apt-cache show package","Display package information"
"Debian","dpkg -i package.deb","Install a .deb package"
"Debian","dpkg -r package","Remove a package (without dependencies)"
"Language","Code","Description"
"Linux Mint","lsb_release -a","Display Linux Mint version information"
"Linux Mint","apt update","Update package list"
"Linux Mint","apt install package","Install a package"
"Linux Mint","apt remove package","Remove a package"
"Linux Mint","apt-cache search package","Search for a package"
"Linux Mint","dpkg -l","List installed packages"
"Linux Mint","systemctl start servicename","Start a service"
"Linux Mint","systemctl stop servicename","Stop a service"
"Language","Code","Description"
"Linux Mint","apt upgrade","Upgrade installed packages"
"Linux Mint","apt full-upgrade","Upgrade Linux Mint distribution"
"Linux Mint","apt-cache show package","Display package information"
"Linux Mint","dpkg -i package.deb","Install a .deb package"
"Linux Mint","timeshift --create","Create a system snapshot"
"Language","Code","Description"
"Manjaro","pamac install package-name","Install a package"
"Manjaro","sudo pacman -S package-name","Install a package using pacman"
"Manjaro","pamac remove package-name","Uninstall a package"
"Manjaro","sudo pacman -Rns package-name","Uninstall a package using pacman"
"Manjaro","pamac search package-name","Search for a package"
"Manjaro","pacman -Ss package-name","Search for a package using pacman"
"Manjaro","pamac upgrade","Update installed packages"
"Manjaro","sudo pacman -Syu","Update installed packages using pacman"
"Manjaro","sudo pacman-mirrors --fasttrack","Generate a random mirrorlist"
"Manjaro","journalctl --disk-usage","Report journal current size"
"Manjaro","journalctl --vacuum-size=50M","Remove old journal entries"
